epoch,accuracy,loss,val_accuracy,val_loss
0,0.061065823,3.839313984,0.063405797,3.347026825
1,0.062198069,3.827568293,0.062801935,3.360097647
2,0.062952898,3.817069292,0.064613529,3.370792389
3,0.061745171,3.825814486,0.064009659,3.369549274
4,0.06197162,3.802393913,0.062198069,3.363873243
5,0.062801935,3.800939798,0.063103862,3.353976011
6,0.061141305,3.779774904,0.064009659,3.352681875
7,0.06672705,3.756942749,0.063707732,3.350750685
8,0.0625,3.759609699,0.064311594,3.344930649
9,0.064009659,3.764737844,0.066425122,3.342362404
,,,,
,,,,
epoch,accuracy,loss,val_accuracy,val_loss
0,0.063707732,3.569074631,0.065217391,3.61882472
1,0.06197162,3.262171984,0.063405797,3.083402634
2,0.063556761,3.106243372,0.0625,3.001792669
3,0.062424518,3.008080482,0.05495169,2.951855659
4,0.058574878,2.95263195,0.056763284,2.914006472
5,0.064085148,2.911321163,0.064311594,2.888136387
6,0.066576086,2.887625933,0.062801935,2.870681286
7,0.063405797,2.877002716,0.053743962,2.870405912
8,0.062650964,2.869725704,0.055253625,2.858425617
9,0.063858695,2.862357855,0.064915456,2.865499973
10,0.061820652,2.866739035,0.052234299,2.859559774
11,0.06416063,2.855154037,0.05736715,2.849129915
12,0.064990945,2.850803852,0.064009659,2.850603342
13,0.064462557,2.848576784,0.063707732,2.84988308
14,0.061065823,2.847460508,0.055555556,2.854403734
15,0.062650964,2.851582527,0.065519325,2.848769903
16,0.067859299,2.845695972,0.065519325,2.840693712
17,0.067179948,2.842897892,0.052838165,2.844588041
18,0.063179351,2.844232321,0.055253625,2.845306158
19,0.067557365,2.839082956,0.064915456,2.843192339
20,0.064839974,2.841490746,0.05495169,2.850332975
21,0.066123188,2.844959736,0.055253625,2.848782063
22,0.062273551,2.846856356,0.057669081,2.843117476
23,0.066500604,2.833338737,0.054045893,2.834234715
24,0.064009659,2.828946829,0.060688406,2.828779936
25,0.067330919,2.831626415,0.055253625,2.83438921
26,0.067859299,2.833945274,0.065519325,2.835499525
27,0.067859299,2.834628105,0.067028984,2.838965416
28,0.067028984,2.839260817,0.057065219,2.840486288
29,0.06951993,2.843519926,0.059480675,2.854604721
